Institution Name,Has Resource(s),Has Project(s),IPEDS
"University of North Carolina, Chapel Hill",FALSE,TRUE,
University of North Dakota,FALSE,TRUE,
University of Northern Iowa,TRUE,FALSE,
University of Notre Dame,TRUE,TRUE,
University of Oklahoma,TRUE,TRUE,
University of Oregon,FALSE,TRUE,
University of Oxford,FALSE,TRUE,
University of Pennsylvania,TRUE,TRUE,
University of Pittsburgh,TRUE,TRUE,
University of Puerto Rico,FALSE,TRUE,
University of Puerto Rico - Mayaguez,TRUE,TRUE,
University of Rochester,FALSE,TRUE,
University of Sheffield,FALSE,TRUE,
University of South Carolina,FALSE,TRUE,
University of South Dakota,TRUE,TRUE,
University of South Florida,TRUE,TRUE,
University of Southern California,TRUE,TRUE,
University of Tennessee,FALSE,TRUE,
University of Tennessee Chattanooga,TRUE,FALSE,
University of Tennessee at Chattanooga,FALSE,TRUE,
"University of Tennessee, Knoxville",FALSE,TRUE,
University of Texas Arlington,TRUE,FALSE,
University of Texas Southwestern Medical Center,FALSE,TRUE,
University of Texas at Arlington,FALSE,TRUE,
University of Texas at Austin,TRUE,TRUE,
University of Texas at Dallas,TRUE,TRUE,
University of Texas at El Paso,FALSE,TRUE,
University of Toledo,FALSE,TRUE,
University of Tulsa,FALSE,TRUE,
University of Utah,TRUE,TRUE,
University of Venda,FALSE,TRUE,
University of Vermont,FALSE,TRUE,
University of Virginia,TRUE,TRUE,
University of Washington,TRUE,TRUE,
University of Wisconsin,TRUE,FALSE,
University of Wisconsin Milwaukee,TRUE,FALSE,
University of Wisconsin-Madison,FALSE,TRUE,
University of Wisconsin-Milwaukee,FALSE,TRUE,
University of Wyoming,FALSE,TRUE,
Utah State University,FALSE,TRUE,
Utrecht University,FALSE,TRUE,
Vanderbilt University,TRUE,TRUE,
Villanova University,TRUE,TRUE,
Virginia Tech,TRUE,FALSE,
Virginia Tech University,FALSE,TRUE,
Washington State University,FALSE,TRUE,
Washington University in St. Louis,FALSE,TRUE,
Wayne State University,TRUE,TRUE,
Wesleyan University,FALSE,TRUE,
West Chester University of Pennsylvania,FALSE,TRUE,
West Texas A&M University,TRUE,FALSE,
Western Washington University,FALSE,TRUE,
Wichita State University,FALSE,TRUE,
Worcester Polytechnic Institute,FALSE,TRUE,
Wright State Research Institute,FALSE,TRUE,
Yale University,FALSE,TRUE,
